MUNICIP_ID,GDP_PER_CAP,POP_2024,POP_DENSITY,FIBER_PER_100,LTE_ACCESS_PER_100,NR_ACCESS_PER_100,AVG_DL_SPEED,NR_STATION_CNT,NR_PER_100K_POP,SLP_PER_100K_POP,HIGH_NR_P70,HIGH_NR_P75,HIGH_NR_P80,HIGH_SLP,REGION_North,REGION_Northeast,REGION_South,REGION_Southeast
2304277,12621.617394024715,6393.0,17.84,18.442045987799155,54.4032535585797,3.5507586422649773,36.26560846560847,6.0,93.85265133740027,250.27373689973408,0,0,0,0,False,True,False,False
2304285,44549.42468619247,80304.0,941.03,223.66258218768678,97.10101613867305,56.36705519027695,71.21112523406912,174.0,216.67662881052001,189.2807332137876,1,1,1,0,False,True,False,False
2304301,10898.744409117851,18557.0,34.34,113.29956350703239,80.27159562429271,1.6435846311364983,20.006566265060243,12.0,64.66562483159994,204.7744786333998,1,1,0,0,False,True,False,False
2304350,12136.625940223665,25127.0,42.5,49.09061965216699,63.17109085843913,0.18307000437776097,52.21135440180587,12.0,47.75739244637243,1297.4091614597844,1,1,0,0,False,True,False,False
2304400,28526.02419503949,2574412.0,7775.52,145.09115091135374,85.1846946021072,42.47319387883525,122.9506293438032,5817.0,225.95450922385385,13050.669434418423,1,1,1,1,False,True,False,False
2304459,17308.885442056282,18052.0,60.68,161.4834921338356,81.25415466430313,0.027697762020828718,39.82041690793283,0.0,0.0,110.79104808331486,0,0,0,0,False,True,False,False
2304509,16863.52524141303,16362.0,74.46,92.0975430876421,74.72191663610805,0.006111722283339445,27.14390261627907,0.0,0.0,85.56411196675224,0,0,0,0,False,True,False,False
2304608,12559.647602541883,6924.0,29.23,7.293471981513576,62.954939341421145,0.014442518775274409,36.07,12.0,173.3102253032929,259.96533795493934,1,1,0,0,False,True,False,False
2304657,9151.333427402284,14174.0,53.3,60.709750246931,47.714124453224215,0.03527585720333004,45.89658959537572,0.0,0.0,183.4344574573162,0,0,0,0,False,True,False,False
2304707,8437.564035734187,55633.0,20.03,31.997195908902988,54.21782035842036,0.2426617295490087,21.148895945285783,6.0,10.784965757733719,197.72437222511817,0,0,0,0,False,True,False,False
2304806,10350.201612903224,4960.0,43.41,29.43548387096774,52.37903225806452,0.14112903225806453,26.388125,6.0,120.96774193548387,161.29032258064515,0,0,0,0,False,True,False,False
2304905,9790.064527534694,11313.0,70.08,55.378767789268984,72.27083885795103,0.11491204808627244,64.56110332749562,6.0,53.03632988597189,70.71510651462918,0,0,0,0,False,True,False,False
2304954,9248.275862068966,25085.0,95.0,117.56428144309348,73.62965915885988,1.6623480167430735,69.16945181255525,3.0,11.95933824995017,71.75602949970101,0,0,0,0,False,True,False,False
2305001,15108.34424527024,44294.0,67.33,121.93525082403937,68.64812389939947,6.3259132162369625,40.000835164835166,36.0,81.2751162685691,1553.2577775770985,1,1,1,0,False,True,False,False
2305100,13816.1196081801,5819.0,62.26,209.29713009108093,134.1295755284413,11.35934009279945,31.13810754189944,6.0,103.11050008592542,3505.7570029214644,0,0,0,1,False,True,False,False
2305209,10152.263374485598,18225.0,19.27,114.21124828532236,66.93004115226337,0.10425240054869685,40.128724179829895,6.0,32.92181069958848,87.79149519890261,0,0,0,0,False,True,False,False
2305233,26481.622338429203,79934.0,465.6,115.12497810693823,85.93214401881552,23.87844972101984,45.03470937700706,51.0,63.80263717566993,120.0990817424375,1,1,1,0,False,True,False,False
2305266,10849.39709621852,12191.0,13.6,34.99302764334345,68.37010909687474,0.32811090148470184,35.66283561643836,15.0,123.04158805676319,98.43327044541054,1,1,1,0,False,True,False,False
2305308,14140.127388535033,24649.0,57.87,106.2680027587326,70.90754188810905,3.724289017810053,40.73713987473904,9.0,36.51263742951033,446.265568582904,1,0,0,0,False,True,False,False
2305332,10430.837298605891,11979.0,27.39,0.1419150179480758,79.04666499707822,0.1753067868770348,45.95586687306502,6.0,50.087653393438515,283.83003589615157,0,0,0,0,False,True,False,False
2305357,18376.22390128314,22367.0,50.86,147.2302946304824,69.17780659006573,0.18777663522153173,26.50002252252252,0.0,0.0,2315.911834398891,0,0,0,1,False,True,False,False
2305407,11380.651831733589,64802.0,33.57,95.92142217832783,63.93784142464739,5.9149408968858985,26.8855698860228,45.0,69.44230116354433,410.48115798895094,1,1,1,0,False,True,False,False
2305506,18628.815366108887,102251.0,98.83,144.8983384025584,70.24087783982553,21.95479750809283,64.25026494277236,129.0,126.16013535319948,389.23824705870845,1,1,1,0,False,True,False,False
2305605,12507.501019160212,24530.0,7.46,86.25764370158988,58.80962087240114,0.061149612719119444,16.70107303877367,12.0,48.91969017529556,1328.9849164288626,1,1,0,0,False,True,False,False
2305654,9560.777414760829,11937.0,16.42,74.23138141911703,56.02747759068443,0.7204490240428918,26.36064220183486,15.0,125.65971349585323,184.3009131272514,1,1,1,0,False,True,False,False
2305704,11530.50397877984,12441.0,43.7,83.95627361144602,72.63081745840367,0.9565147496181979,12.487765205091938,9.0,72.34145165179648,208.9864158829676,1,0,0,0,False,True,False,False
2305803,12098.42208154906,42968.0,65.62,78.43511450381679,48.90383541239993,10.586948426736177,47.600573012939,39.0,90.76522062930553,125.67492087134612,1,1,1,0,False,True,False,False
2305902,8570.32780462322,38285.0,24.81,77.48726655348048,56.2753036437247,3.3642418701841454,35.73499159663866,18.0,47.01580253362936,130.59945148230378,1,1,1,0,False,True,False,False
2306009,13550.8986191104,14411.0,16.68,117.09805010061758,66.15779612795781,2.255221705641524,21.47005707762557,3.0,20.81743112899868,138.78287419332455,0,0,0,0,False,True,False,False
2306108,8900.408064320634,24751.0,16.31,51.29489717587168,66.94274978788737,0.5454325077774635,24.857245131729663,0.0,0.0,371.70215344834554,0,0,0,0,False,True,False,False
2306207,10651.111968119296,7779.0,35.28,177.37498393109655,87.76192312636586,0.5270600334233192,39.06212218649517,9.0,115.69610489780177,1054.1200668466383,1,0,0,0,False,True,False,False
2306256,17810.467041129614,70679.0,420.66,126.02328838834731,73.03017869522772,8.87958233704495,32.06187610904985,39.0,55.179048939571864,186.75985794932018,1,1,1,0,False,True,False,False
2306306,12113.046489834169,49086.0,107.42,82.33101087886567,70.5781689280039,1.0960355294788737,39.43443537414966,45.0,91.67583425009168,321.88404025587744,1,1,1,0,False,True,False,False
2306405,12937.712122530676,137892.0,81.93,73.10576393119253,64.15455573927422,18.08879412873843,55.76768142681427,117.0,84.84901227047254,478.63545383343484,1,1,1,0,False,True,False,False
2306504,9343.537414965986,18228.0,30.07,28.670177748518764,64.73008558262015,0.0054860653938994955,37.90329255861366,6.0,32.91639236339697,76.80491551459293,0,0,0,0,False,True,False,False
2306553,16865.412955020347,45465.0,60.09,95.0335422852744,61.99054217529968,0.028593423512592104,47.55855951478392,0.0,0.0,167.16155284284613,0,0,0,0,False,True,False,False
2306603,8252.904633186323,21087.0,24.62,92.07094418362024,58.761322141603834,0.07113387395077536,18.150159744408946,9.0,42.680324370465215,218.1438801157111,1,0,0,0,False,True,False,False
2306702,12859.234042553191,17625.0,9.43,53.645390070921984,52.12482269503546,2.025531914893617,24.943776223776226,3.0,17.02127659574468,113.47517730496453,0,0,0,0,False,True,False,False
2306801,14452.13963963964,10656.0,16.62,96.53716216216216,93.71246246246247,2.637012012012012,36.49213675213675,3.0,28.153153153153152,431.6816816816817,0,0,0,0,False,True,False,False
2306900,15976.967315795468,35124.0,17.97,97.898872565767,79.91971301674069,3.4335497096002734,23.134134466769705,15.0,42.70584215920738,415.67019701628516,1,1,1,0,False,True,False,False
2307007,17144.269730873904,33070.0,37.1,60.78621106743272,72.14998488055639,2.2013909888116117,40.12596654872949,33.0,99.78832778953735,169.33776837012397,1,1,1,0,False,True,False,False
2307106,10246.769080712022,28707.0,50.3,129.53286654822867,60.4347371721183,0.027867767443480684,35.750590015128594,3.0,10.450412791305256,118.43801163479291,0,0,0,0,False,True,False,False
2307205,16015.925925925923,8100.0,21.34,49.01234567901235,82.12345679012346,0.5555555555555556,35.63817813765182,6.0,74.07407407407408,543.2098765432099,0,0,0,0,False,True,False,False
2307254,19942.086617019737,27662.0,122.26,186.8194635239679,100.62902176270697,34.79864073458174,92.35096413199426,18.0,65.07121683175475,404.88757139758513,1,1,1,0,False,True,False,False
2307304,16880.259006481763,303004.0,1105.62,166.53773547543926,98.58846747897718,26.463677047167693,91.1561704091595,393.0,129.7012580692004,578.2101886443743,1,1,1,0,False,True,False,False
