replication,status,const,GDP_PER_CAP,POP_DENSITY,FIBER_PER_100,LTE_ACCESS_PER_100,REGION_North,REGION_Northeast,REGION_South,REGION_Southeast,clogpop,alpha
109,valid,-7.05392460211542,0.12661243424750276,0.49628170378258324,0.07738283482493505,0.06087497777744931,-0.04258074287752696,-0.018397014876744718,0.05570678502806191,0.05095950632908179,-0.24965317075461957,0.8089869125359819
110,valid,-7.141621980352464,0.10579776316686816,0.16645391337260526,0.10630213051749485,0.06888516861930946,-0.06738407740667068,-0.0008221480178712492,0.06662191305523357,-0.04484318128763784,-0.11853221654452738,0.6612353420940066
111,valid,-7.050516532711225,0.09497013180154644,0.4161719987371115,0.1318713842806397,0.015908674746871306,0.029802817168890126,0.011701009202417923,0.10428275342012419,-0.025757815578485794,-0.24734811776789623,0.6718415985092482
112,valid,-7.044228568837737,0.11108520923312577,0.23344683415065695,0.1431463513685121,0.03200926954512964,-0.014987334790019678,0.10191620662321799,0.1992012848193788,0.06400710688212267,-0.16154519219650978,0.7222096774664184
113,valid,-7.126959591853632,0.07835350683550771,0.15938487471888346,0.18273445243165345,0.0638369575601781,-0.05519055778092644,0.03216886240211512,0.15646470307657734,0.01581613552107359,-0.03260288620072638,0.5428399518445112
114,valid,-7.037364307418029,0.10767772107870878,0.46828160663267965,0.10585665425191904,0.0007627657148736161,0.030742559739871132,-0.01822398418563116,0.06545545669678235,-0.0204176841717993,-0.2568943640754511,0.6805476212331014
115,valid,-7.04648057712154,0.08210150019002882,0.191112407474808,0.1092679612270452,0.039471607797004406,-0.013472968358480787,0.12543219562251468,0.1306647202338428,0.017719370082786158,-0.12840378221338822,0.6669169621094754
116,valid,-7.034404935223759,0.12356674310744266,0.2965899408302945,0.08896475373096716,0.02663352780531262,-0.025748203394478288,0.024562087991108816,0.07959230826346315,0.028345546025297,-0.22123568405399216,0.6820052450925742
117,valid,-6.958280310248345,0.11273253777964636,0.3342417294749755,0.1661428758149787,0.028453274672248837,-0.01010044701290196,0.075963258084025,0.16612301997879383,0.20058330437078914,-0.17395452112723594,0.5738869966242531
118,valid,-7.116286429487433,0.09902106654305082,0.20672500995917364,0.15479089526754422,0.06715225205969168,-0.0024102192666249395,0.023534236465822894,0.061940873170798806,-0.07094534046148175,-0.12141273954499769,0.5434340124920856
